,ZIP,protected,not_protected,bin
4604,610,0.958,0.042,"(0.278, 1.0]"
4610,20912,0.223,0.777,"(0.139, 0.278]"
4614,53406,0.136,0.864,"(0.083, 0.139]"
4623,98008,0.093,0.907,"(0.083, 0.139]"
4651,6705,0.366,0.634,"(0.278, 1.0]"
4657,20876,0.192,0.808,"(0.139, 0.278]"
4658,79118,0.2769999999999999,0.7230000000000001,"(0.139, 0.278]"
4662,54449,0.02,0.98,"(0.012, 0.022]"
4682,29906,0.13,0.87,"(0.083, 0.139]"
4684,79764,0.62,0.38,"(0.278, 1.0]"
4714,74075,0.0559999999999999,0.944,"(0.054, 0.083]"
4717,77504,0.665,0.3349999999999999,"(0.278, 1.0]"
4719,78238,0.716,0.284,"(0.278, 1.0]"
4734,37917,0.05,0.95,"(0.036, 0.054]"
4735,14207,0.213,0.787,"(0.139, 0.278]"
4750,89044,0.132,0.868,"(0.083, 0.139]"
4756,73701,0.213,0.787,"(0.139, 0.278]"
4766,1867,0.036,0.964,"(0.022, 0.036]"
4770,77061,0.633,0.367,"(0.278, 1.0]"
4775,38138,0.044,0.956,"(0.036, 0.054]"
4776,40422,0.036,0.964,"(0.022, 0.036]"
4777,37205,0.031,0.969,"(0.022, 0.036]"
4778,99354,0.1369999999999999,0.863,"(0.083, 0.139]"
4780,55025,0.0409999999999999,0.959,"(0.036, 0.054]"
4783,90270,0.974,0.0259999999999999,"(0.278, 1.0]"
4796,8060,0.1369999999999999,0.863,"(0.083, 0.139]"
4802,8005,0.062,0.938,"(0.054, 0.083]"
4820,95776,0.447,0.5529999999999999,"(0.278, 1.0]"
4827,32750,0.228,0.772,"(0.139, 0.278]"
4835,27870,0.037,0.963,"(0.036, 0.054]"
4886,66030,0.068,0.932,"(0.054, 0.083]"
4906,86326,0.184,0.8160000000000001,"(0.139, 0.278]"
4909,44483,0.034,0.966,"(0.022, 0.036]"
4924,21040,0.064,0.936,"(0.054, 0.083]"
4935,43227,0.086,0.914,"(0.083, 0.139]"
4936,45356,0.011,0.989,"(0.002, 0.012]"
4944,30306,0.068,0.932,"(0.054, 0.083]"
4976,94609,0.136,0.864,"(0.083, 0.139]"
4977,37303,0.063,0.937,"(0.054, 0.083]"
4980,76109,0.122,0.878,"(0.083, 0.139]"
4988,76148,0.285,0.7150000000000001,"(0.278, 1.0]"
5008,32163,0.027,0.973,"(0.022, 0.036]"
5009,75160,0.302,0.698,"(0.278, 1.0]"
5013,98362,0.079,0.921,"(0.054, 0.083]"
5017,84117,0.07,0.93,"(0.054, 0.083]"
5022,89120,0.407,0.593,"(0.278, 1.0]"
5036,45236,0.038,0.962,"(0.036, 0.054]"
5039,10512,0.17,0.83,"(0.139, 0.278]"
5046,76105,0.583,0.417,"(0.278, 1.0]"
5053,39601,0.018,0.982,"(0.012, 0.022]"
5054,7080,0.181,0.819,"(0.139, 0.278]"
5074,80222,0.144,0.856,"(0.139, 0.278]"
5075,49048,0.064,0.936,"(0.054, 0.083]"
5082,2021,0.038,0.962,"(0.036, 0.054]"
5104,38119,0.034,0.966,"(0.022, 0.036]"
5106,73044,0.076,0.924,"(0.054, 0.083]"
5112,78261,0.36,0.64,"(0.278, 1.0]"
5120,79603,0.457,0.5429999999999999,"(0.278, 1.0]"
5125,33168,0.251,0.749,"(0.139, 0.278]"
5126,61611,0.022,0.978,"(0.012, 0.022]"
5131,30241,0.035,0.965,"(0.022, 0.036]"
5132,38930,0.032,0.968,"(0.022, 0.036]"
5142,60177,0.221,0.779,"(0.139, 0.278]"
5145,30286,0.027,0.973,"(0.022, 0.036]"
5146,33444,0.1159999999999999,0.884,"(0.083, 0.139]"
5149,7016,0.075,0.925,"(0.054, 0.083]"
5163,2048,0.036,0.964,"(0.022, 0.036]"
5164,45102,0.022,0.978,"(0.012, 0.022]"
5168,2122,0.1369999999999999,0.863,"(0.083, 0.139]"
5169,38106,0.018,0.982,"(0.012, 0.022]"
5174,8037,0.1969999999999999,0.803,"(0.139, 0.278]"
5177,46321,0.142,0.858,"(0.139, 0.278]"
5183,46323,0.37,0.63,"(0.278, 1.0]"
5186,48083,0.027,0.973,"(0.022, 0.036]"
5217,67502,0.095,0.905,"(0.083, 0.139]"
5229,66604,0.123,0.877,"(0.083, 0.139]"
5239,90404,0.284,0.716,"(0.278, 1.0]"
5248,53027,0.051,0.949,"(0.036, 0.054]"
5270,46806,0.2269999999999999,0.773,"(0.139, 0.278]"
5287,2467,0.059,0.941,"(0.054, 0.083]"
5289,38141,0.102,0.898,"(0.083, 0.139]"
5299,11714,0.129,0.871,"(0.083, 0.139]"
5301,45247,0.0069999999999999,0.993,"(0.002, 0.012]"
5328,98664,0.143,0.857,"(0.139, 0.278]"
5338,48473,0.033,0.967,"(0.022, 0.036]"
5340,1720,0.036,0.964,"(0.022, 0.036]"
5341,37091,0.078,0.922,"(0.054, 0.083]"
5374,29678,0.055,0.945,"(0.054, 0.083]"
5385,78114,0.519,0.481,"(0.278, 1.0]"
5389,98642,0.075,0.925,"(0.054, 0.083]"
5400,61111,0.1009999999999999,0.899,"(0.083, 0.139]"
5433,49534,0.045,0.955,"(0.036, 0.054]"
5458,77006,0.144,0.856,"(0.139, 0.278]"
5459,32119,0.089,0.911,"(0.083, 0.139]"
5464,93263,0.8370000000000001,0.1629999999999999,"(0.278, 1.0]"
5472,34957,0.075,0.925,"(0.054, 0.083]"
5474,38114,0.018,0.982,"(0.012, 0.022]"
5491,45440,0.0279999999999999,0.972,"(0.022, 0.036]"
5492,77303,0.357,0.643,"(0.278, 1.0]"
5497,61115,0.069,0.931,"(0.054, 0.083]"
5509,11694,0.1669999999999999,0.833,"(0.139, 0.278]"
5511,95818,0.221,0.779,"(0.139, 0.278]"
5515,32308,0.063,0.937,"(0.054, 0.083]"
5525,74021,0.0409999999999999,0.959,"(0.036, 0.054]"
5531,27263,0.081,0.919,"(0.054, 0.083]"
5540,70128,0.0139999999999999,0.986,"(0.012, 0.022]"
5549,72713,0.124,0.876,"(0.083, 0.139]"
5554,3867,0.03,0.97,"(0.022, 0.036]"
5562,2863,0.715,0.285,"(0.278, 1.0]"
5569,28401,0.068,0.932,"(0.054, 0.083]"
5570,40211,0.016,0.984,"(0.012, 0.022]"
5572,5452,0.013,0.987,"(0.012, 0.022]"
5573,32713,0.149,0.851,"(0.139, 0.278]"
5576,64506,0.042,0.958,"(0.036, 0.054]"
5580,30277,0.072,0.928,"(0.054, 0.083]"
5617,98422,0.093,0.907,"(0.083, 0.139]"
5625,70043,0.087,0.913,"(0.083, 0.139]"
5638,8879,0.2019999999999999,0.798,"(0.139, 0.278]"
5664,32836,0.1889999999999999,0.811,"(0.139, 0.278]"
5673,99004,0.09,0.91,"(0.083, 0.139]"
5674,11783,0.064,0.936,"(0.054, 0.083]"
5690,37912,0.08,0.92,"(0.054, 0.083]"
5698,44108,0.015,0.985,"(0.012, 0.022]"
5710,55305,0.025,0.975,"(0.022, 0.036]"
5711,43920,0.008,0.992,"(0.002, 0.012]"
5719,77632,0.064,0.936,"(0.054, 0.083]"
5726,48114,0.024,0.976,"(0.022, 0.036]"
5727,19010,0.057,0.943,"(0.054, 0.083]"
5732,40222,0.036,0.964,"(0.022, 0.036]"
5738,6905,0.155,0.845,"(0.139, 0.278]"
5756,60466,0.0819999999999999,0.918,"(0.054, 0.083]"
5774,92808,0.145,0.855,"(0.139, 0.278]"
5779,6820,0.049,0.951,"(0.036, 0.054]"
5783,32601,0.1169999999999999,0.883,"(0.083, 0.139]"
5794,17225,0.026,0.974,"(0.022, 0.036]"
5808,49014,0.0579999999999999,0.942,"(0.054, 0.083]"
5820,67901,0.648,0.352,"(0.278, 1.0]"
5822,7095,0.261,0.739,"(0.139, 0.278]"
5827,91040,0.2319999999999999,0.768,"(0.139, 0.278]"
5837,72761,0.178,0.822,"(0.139, 0.278]"
5841,48203,0.024,0.976,"(0.022, 0.036]"
5846,95949,0.0819999999999999,0.918,"(0.054, 0.083]"
5857,72901,0.1669999999999999,0.833,"(0.139, 0.278]"
5859,78752,0.504,0.496,"(0.278, 1.0]"
5863,54501,0.016,0.984,"(0.012, 0.022]"
5868,71292,0.045,0.955,"(0.036, 0.054]"
5870,32444,0.053,0.947,"(0.036, 0.054]"
5872,44001,0.053,0.947,"(0.036, 0.054]"
5910,14845,0.017,0.983,"(0.012, 0.022]"
5915,53224,0.0579999999999999,0.942,"(0.054, 0.083]"
5916,80203,0.152,0.848,"(0.139, 0.278]"
5947,60140,0.132,0.868,"(0.083, 0.139]"
5955,48846,0.083,0.917,"(0.054, 0.083]"
5958,35950,0.295,0.7050000000000001,"(0.278, 1.0]"
5966,53172,0.126,0.874,"(0.083, 0.139]"
5973,31407,0.077,0.923,"(0.054, 0.083]"
5975,47265,0.037,0.963,"(0.036, 0.054]"
5976,93630,0.8170000000000001,0.1829999999999999,"(0.278, 1.0]"
5977,41015,0.024,0.976,"(0.022, 0.036]"
5978,29506,0.0279999999999999,0.972,"(0.022, 0.036]"
5984,720,0.993,0.007,"(0.278, 1.0]"
5987,76058,0.1889999999999999,0.811,"(0.139, 0.278]"
5994,61073,0.055,0.945,"(0.054, 0.083]"
6004,72116,0.045,0.955,"(0.036, 0.054]"
6008,67205,0.06,0.94,"(0.054, 0.083]"
6009,27101,0.127,0.873,"(0.083, 0.139]"
6025,98177,0.034,0.966,"(0.022, 0.036]"
6029,98686,0.088,0.912,"(0.083, 0.139]"
6036,87002,0.619,0.381,"(0.278, 1.0]"
6047,43078,0.017,0.983,"(0.012, 0.022]"
6057,72315,0.037,0.963,"(0.036, 0.054]"
6063,6107,0.0559999999999999,0.944,"(0.054, 0.083]"
6072,85757,0.633,0.367,"(0.278, 1.0]"
6077,76067,0.235,0.765,"(0.139, 0.278]"
6081,37069,0.036,0.964,"(0.022, 0.036]"
6082,92887,0.168,0.832,"(0.139, 0.278]"
6086,79119,0.1689999999999999,0.831,"(0.139, 0.278]"
6087,37857,0.022,0.978,"(0.012, 0.022]"
6109,63108,0.038,0.962,"(0.036, 0.054]"
6111,6801,0.075,0.925,"(0.054, 0.083]"
6115,50702,0.065,0.935,"(0.054, 0.083]"
6122,48813,0.052,0.948,"(0.036, 0.054]"
6145,1603,0.27,0.73,"(0.139, 0.278]"
6146,33181,0.4679999999999999,0.532,"(0.278, 1.0]"
6153,79765,0.4639999999999999,0.536,"(0.278, 1.0]"
6164,87532,0.775,0.2249999999999999,"(0.278, 1.0]"
6186,35805,0.205,0.795,"(0.139, 0.278]"
6189,15202,0.024,0.976,"(0.022, 0.036]"
6193,40330,0.035,0.965,"(0.022, 0.036]"
6197,85653,0.243,0.757,"(0.139, 0.278]"
6202,70820,0.088,0.912,"(0.083, 0.139]"
6205,43311,0.024,0.976,"(0.022, 0.036]"
6212,30009,0.069,0.931,"(0.054, 0.083]"
6216,78739,0.156,0.844,"(0.139, 0.278]"
6233,45406,0.031,0.969,"(0.022, 0.036]"
6248,59802,0.066,0.934,"(0.054, 0.083]"
6260,43623,0.087,0.913,"(0.083, 0.139]"
6262,44641,0.013,0.987,"(0.012, 0.022]"
6263,78374,0.423,0.577,"(0.278, 1.0]"
6273,70435,0.016,0.984,"(0.012, 0.022]"
6278,27518,0.034,0.966,"(0.022, 0.036]"
6288,28312,0.081,0.919,"(0.054, 0.083]"
6298,53089,0.023,0.977,"(0.022, 0.036]"
6302,66210,0.078,0.922,"(0.054, 0.083]"
6308,70124,0.098,0.902,"(0.083, 0.139]"
6319,79065,0.321,0.679,"(0.278, 1.0]"
6321,35475,0.008,0.992,"(0.002, 0.012]"
6356,46816,0.099,0.901,"(0.083, 0.139]"
6360,18235,0.039,0.961,"(0.036, 0.054]"
6379,75134,0.205,0.795,"(0.139, 0.278]"
6394,77013,0.747,0.253,"(0.278, 1.0]"
6396,64064,0.03,0.97,"(0.022, 0.036]"
6401,30728,0.033,0.967,"(0.022, 0.036]"
6404,76310,0.16,0.84,"(0.139, 0.278]"
6437,47834,0.022,0.978,"(0.012, 0.022]"
6448,76574,0.434,0.5660000000000001,"(0.278, 1.0]"
6455,63112,0.046,0.954,"(0.036, 0.054]"
6458,2459,0.033,0.967,"(0.022, 0.036]"
6461,85284,0.1369999999999999,0.863,"(0.083, 0.139]"
6462,94564,0.25,0.75,"(0.139, 0.278]"
6465,96161,0.124,0.876,"(0.083, 0.139]"
6473,44333,0.027,0.973,"(0.022, 0.036]"
6482,84102,0.102,0.898,"(0.083, 0.139]"
6484,37015,0.061,0.939,"(0.054, 0.083]"
6492,44112,0.006,0.994,"(0.002, 0.012]"
6498,53012,0.023,0.977,"(0.022, 0.036]"
6501,34117,0.469,0.531,"(0.278, 1.0]"
6512,77002,0.22,0.78,"(0.139, 0.278]"
6514,45227,0.016,0.984,"(0.012, 0.022]"
6533,53121,0.1,0.9,"(0.083, 0.139]"
6538,37405,0.023,0.977,"(0.022, 0.036]"
6545,44709,0.0579999999999999,0.942,"(0.054, 0.083]"
6547,20132,0.0969999999999999,0.903,"(0.083, 0.139]"
6561,95602,0.129,0.871,"(0.083, 0.139]"
6562,42134,0.0279999999999999,0.972,"(0.022, 0.036]"
6569,55350,0.042,0.958,"(0.036, 0.054]"
6571,66046,0.083,0.917,"(0.054, 0.083]"
6581,43611,0.104,0.896,"(0.083, 0.139]"
6585,97239,0.1,0.9,"(0.083, 0.139]"
6591,72801,0.141,0.859,"(0.139, 0.278]"
6609,46356,0.102,0.898,"(0.083, 0.139]"
6624,6897,0.042,0.958,"(0.036, 0.054]"
6639,7079,0.069,0.931,"(0.054, 0.083]"
6644,2134,0.118,0.882,"(0.083, 0.139]"
6652,80534,0.144,0.856,"(0.139, 0.278]"
6662,60131,0.551,0.4489999999999999,"(0.278, 1.0]"
6669,91723,0.6659999999999999,0.3340000000000001,"(0.278, 1.0]"
6670,33716,0.148,0.852,"(0.139, 0.278]"
6673,1742,0.059,0.941,"(0.054, 0.083]"
6679,60465,0.095,0.905,"(0.083, 0.139]"
6693,87701,0.799,0.2009999999999999,"(0.278, 1.0]"
6716,63138,0.018,0.982,"(0.012, 0.022]"
6724,75965,0.14,0.86,"(0.139, 0.278]"
6741,60304,0.128,0.872,"(0.083, 0.139]"
6742,49010,0.04,0.96,"(0.036, 0.054]"
6746,22124,0.09,0.91,"(0.083, 0.139]"
6748,772,0.998,0.002,"(0.278, 1.0]"
6750,77447,0.434,0.5660000000000001,"(0.278, 1.0]"
6758,29512,0.035,0.965,"(0.022, 0.036]"
6766,54656,0.049,0.951,"(0.036, 0.054]"
6767,4038,0.018,0.982,"(0.012, 0.022]"
6770,18049,0.059,0.941,"(0.054, 0.083]"
6778,49202,0.0559999999999999,0.944,"(0.054, 0.083]"
6781,70427,0.025,0.975,"(0.022, 0.036]"
6785,34420,0.146,0.854,"(0.139, 0.278]"
6788,37725,0.02,0.98,"(0.012, 0.022]"
6791,98274,0.22,0.78,"(0.139, 0.278]"
6804,55376,0.021,0.979,"(0.012, 0.022]"
6811,2451,0.113,0.887,"(0.083, 0.139]"
6815,92617,0.228,0.772,"(0.139, 0.278]"
6821,98942,0.203,0.7969999999999999,"(0.139, 0.278]"
6849,35757,0.027,0.973,"(0.022, 0.036]"
6850,48820,0.065,0.935,"(0.054, 0.083]"
6858,68114,0.048,0.952,"(0.036, 0.054]"
6868,55803,0.015,0.985,"(0.012, 0.022]"
6871,40769,0.021,0.979,"(0.012, 0.022]"
6887,28716,0.023,0.977,"(0.022, 0.036]"
6889,638,0.992,0.008,"(0.278, 1.0]"
6894,88061,0.43,0.5700000000000001,"(0.278, 1.0]"
6911,38829,0.0069999999999999,0.993,"(0.002, 0.012]"
6919,19473,0.021,0.979,"(0.012, 0.022]"
6928,34685,0.074,0.926,"(0.054, 0.083]"
6937,31216,0.071,0.929,"(0.054, 0.083]"
6970,29306,0.086,0.914,"(0.083, 0.139]"
6972,53158,0.102,0.898,"(0.083, 0.139]"
6976,85607,0.879,0.121,"(0.278, 1.0]"
6998,95673,0.2319999999999999,0.768,"(0.139, 0.278]"
7005,35976,0.071,0.929,"(0.054, 0.083]"
7022,90245,0.162,0.838,"(0.139, 0.278]"
7025,98282,0.03,0.97,"(0.022, 0.036]"
7036,45502,0.005,0.995,"(0.002, 0.012]"
7045,65270,0.023,0.977,"(0.022, 0.036]"
7049,33773,0.07,0.93,"(0.054, 0.083]"
7065,35120,0.04,0.96,"(0.036, 0.054]"
7074,66202,0.1119999999999999,0.888,"(0.083, 0.139]"
7078,59803,0.0409999999999999,0.959,"(0.036, 0.054]"
7093,72405,0.034,0.966,"(0.022, 0.036]"
7099,7081,0.1669999999999999,0.833,"(0.139, 0.278]"
7101,60084,0.166,0.834,"(0.139, 0.278]"
7105,30474,0.091,0.909,"(0.083, 0.139]"
7114,47112,0.04,0.96,"(0.036, 0.054]"
7125,17070,0.074,0.926,"(0.054, 0.083]"
7130,94612,0.0969999999999999,0.903,"(0.083, 0.139]"
7135,82072,0.089,0.911,"(0.083, 0.139]"
7151,60154,0.207,0.793,"(0.139, 0.278]"
7165,68847,0.107,0.893,"(0.083, 0.139]"
7183,8691,0.034,0.966,"(0.022, 0.036]"
7186,67214,0.309,0.6910000000000001,"(0.278, 1.0]"
7205,44022,0.011,0.989,"(0.002, 0.012]"
7206,76118,0.235,0.765,"(0.139, 0.278]"
7208,19015,0.039,0.961,"(0.036, 0.054]"
7212,77306,0.517,0.483,"(0.278, 1.0]"
7218,42501,0.0279999999999999,0.972,"(0.022, 0.036]"
7219,907,0.949,0.0509999999999999,"(0.278, 1.0]"
7220,56304,0.039,0.961,"(0.036, 0.054]"
7255,43950,0.017,0.983,"(0.012, 0.022]"
7256,34105,0.139,0.861,"(0.083, 0.139]"
7276,22546,0.042,0.958,"(0.036, 0.054]"
7281,35121,0.148,0.852,"(0.139, 0.278]"
7283,38112,0.09,0.91,"(0.083, 0.139]"
7290,21211,0.046,0.954,"(0.036, 0.054]"
7294,72719,0.053,0.947,"(0.036, 0.054]"
7295,46013,0.033,0.967,"(0.022, 0.036]"
7348,35957,0.168,0.832,"(0.139, 0.278]"
7371,46814,0.024,0.976,"(0.022, 0.036]"
7372,72715,0.036,0.964,"(0.022, 0.036]"
7377,33066,0.157,0.843,"(0.139, 0.278]"
7382,1106,0.055,0.945,"(0.054, 0.083]"
7385,33605,0.299,0.7010000000000001,"(0.278, 1.0]"
7390,33035,0.536,0.4639999999999999,"(0.278, 1.0]"
7409,8882,0.241,0.759,"(0.139, 0.278]"
7413,15501,0.026,0.974,"(0.022, 0.036]"
7428,82414,0.052,0.948,"(0.036, 0.054]"
7470,27244,0.043,0.957,"(0.036, 0.054]"
7486,79029,0.57,0.43,"(0.278, 1.0]"
7489,30360,0.362,0.6379999999999999,"(0.278, 1.0]"
7497,33132,0.5379999999999999,0.4620000000000001,"(0.278, 1.0]"
7502,24015,0.047,0.953,"(0.036, 0.054]"
7506,15009,0.017,0.983,"(0.012, 0.022]"
7509,58203,0.055,0.945,"(0.054, 0.083]"
7515,6385,0.0559999999999999,0.944,"(0.054, 0.083]"
7526,23901,0.042,0.958,"(0.036, 0.054]"
7532,61603,0.077,0.923,"(0.054, 0.083]"
7557,80465,0.126,0.874,"(0.083, 0.139]"
7561,94556,0.072,0.928,"(0.054, 0.083]"
7565,48034,0.02,0.98,"(0.012, 0.022]"
7574,660,0.991,0.009,"(0.278, 1.0]"
7575,64870,0.022,0.978,"(0.012, 0.022]"
7592,10549,0.275,0.725,"(0.139, 0.278]"
7594,64060,0.055,0.945,"(0.054, 0.083]"
7610,6117,0.067,0.933,"(0.054, 0.083]"
7616,21046,0.061,0.939,"(0.054, 0.083]"
7623,71006,0.027,0.973,"(0.022, 0.036]"
7629,73801,0.159,0.841,"(0.139, 0.278]"
7630,7066,0.103,0.897,"(0.083, 0.139]"
7635,29568,0.035,0.965,"(0.022, 0.036]"
7644,80513,0.093,0.907,"(0.083, 0.139]"
7647,20186,0.065,0.935,"(0.054, 0.083]"
7650,31220,0.024,0.976,"(0.022, 0.036]"
7660,66226,0.087,0.913,"(0.083, 0.139]"
7687,7670,0.102,0.898,"(0.083, 0.139]"
7688,1007,0.04,0.96,"(0.036, 0.054]"
7697,25405,0.049,0.951,"(0.036, 0.054]"
7699,40208,0.06,0.94,"(0.054, 0.083]"
7701,2189,0.0559999999999999,0.944,"(0.054, 0.083]"
7707,46714,0.048,0.952,"(0.036, 0.054]"
7712,25704,0.005,0.995,"(0.002, 0.012]"
7714,33412,0.093,0.907,"(0.083, 0.139]"
7739,10960,0.186,0.814,"(0.139, 0.278]"
7747,53566,0.048,0.952,"(0.036, 0.054]"
7749,2382,0.022,0.978,"(0.012, 0.022]"
7760,2120,0.2339999999999999,0.766,"(0.139, 0.278]"
7799,74955,0.051,0.949,"(0.036, 0.054]"
7800,67235,0.079,0.921,"(0.054, 0.083]"
7801,92866,0.3389999999999999,0.661,"(0.278, 1.0]"
7803,45804,0.019,0.981,"(0.012, 0.022]"
7820,25314,0.011,0.989,"(0.002, 0.012]"
7822,22508,0.094,0.906,"(0.083, 0.139]"
7823,81003,0.487,0.5129999999999999,"(0.278, 1.0]"
7827,46408,0.18,0.8200000000000001,"(0.139, 0.278]"
7834,70525,0.0559999999999999,0.944,"(0.054, 0.083]"
7843,64507,0.062,0.938,"(0.054, 0.083]"
7850,5201,0.024,0.976,"(0.022, 0.036]"
7851,68108,0.4679999999999999,0.532,"(0.278, 1.0]"
7853,62294,0.0279999999999999,0.972,"(0.022, 0.036]"
7857,6903,0.091,0.909,"(0.083, 0.139]"
7875,96778,0.192,0.808,"(0.139, 0.278]"
7896,43608,0.059,0.941,"(0.054, 0.083]"
7906,64117,0.0969999999999999,0.903,"(0.083, 0.139]"
7908,29907,0.054,0.946,"(0.036, 0.054]"
7911,38606,0.021,0.979,"(0.012, 0.022]"
7916,87501,0.287,0.7130000000000001,"(0.278, 1.0]"
7923,45377,0.013,0.987,"(0.012, 0.022]"
7949,62034,0.036,0.964,"(0.022, 0.036]"
7950,18407,0.049,0.951,"(0.036, 0.054]"
7977,62236,0.019,0.981,"(0.012, 0.022]"
7991,14619,0.069,0.931,"(0.054, 0.083]"
7992,85650,0.253,0.747,"(0.139, 0.278]"
7998,27214,0.098,0.902,"(0.083, 0.139]"
8020,78645,0.15,0.85,"(0.139, 0.278]"
8023,32407,0.08,0.92,"(0.054, 0.083]"
8032,95605,0.4539999999999999,0.546,"(0.278, 1.0]"
8042,55413,0.096,0.904,"(0.083, 0.139]"
8043,60130,0.077,0.923,"(0.054, 0.083]"
8046,55436,0.024,0.976,"(0.022, 0.036]"
8053,75223,0.674,0.3259999999999999,"(0.278, 1.0]"
8075,97448,0.077,0.923,"(0.054, 0.083]"
8085,54603,0.025,0.975,"(0.022, 0.036]"
8106,54961,0.055,0.945,"(0.054, 0.083]"
8109,27370,0.009,0.991,"(0.002, 0.012]"
8152,24592,0.025,0.975,"(0.022, 0.036]"
8160,35043,0.025,0.975,"(0.022, 0.036]"
8186,45229,0.064,0.936,"(0.054, 0.083]"
8190,14513,0.129,0.871,"(0.083, 0.139]"
8197,37663,0.004,0.996,"(0.002, 0.012]"
8200,2141,0.122,0.878,"(0.083, 0.139]"
8201,74467,0.0279999999999999,0.972,"(0.022, 0.036]"
8215,73089,0.059,0.941,"(0.054, 0.083]"
8229,63069,0.011,0.989,"(0.002, 0.012]"
8230,26241,0.012,0.988,"(0.002, 0.012]"
8231,77032,0.535,0.4649999999999999,"(0.278, 1.0]"
8234,93204,0.85,0.15,"(0.278, 1.0]"
8236,45690,0.001,0.999,"(-0.001, 0.002]"
8244,44301,0.048,0.952,"(0.036, 0.054]"
8263,8107,0.146,0.854,"(0.139, 0.278]"
8264,32254,0.048,0.952,"(0.036, 0.054]"
8270,41143,0.005,0.995,"(0.002, 0.012]"
8275,43125,0.068,0.932,"(0.054, 0.083]"
8277,27524,0.148,0.852,"(0.139, 0.278]"
8300,12528,0.099,0.901,"(0.083, 0.139]"
8304,46320,0.351,0.649,"(0.278, 1.0]"
8312,61866,0.126,0.874,"(0.083, 0.139]"
8314,27892,0.037,0.963,"(0.036, 0.054]"
8330,35504,0.066,0.934,"(0.054, 0.083]"
8342,60558,0.0579999999999999,0.942,"(0.054, 0.083]"
8351,45246,0.128,0.872,"(0.083, 0.139]"
8363,28016,0.067,0.933,"(0.054, 0.083]"
8369,76367,0.163,0.837,"(0.139, 0.278]"
8372,46310,0.062,0.938,"(0.054, 0.083]"
8375,65560,0.019,0.981,"(0.012, 0.022]"
8382,87544,0.19,0.81,"(0.139, 0.278]"
8394,78726,0.16,0.84,"(0.139, 0.278]"
8413,37924,0.025,0.975,"(0.022, 0.036]"
8421,18202,0.317,0.683,"(0.278, 1.0]"
8427,7734,0.1119999999999999,0.888,"(0.083, 0.139]"
8443,6413,0.078,0.922,"(0.054, 0.083]"
8464,34947,0.221,0.779,"(0.139, 0.278]"
8481,63080,0.025,0.975,"(0.022, 0.036]"
8483,64735,0.023,0.977,"(0.022, 0.036]"
8489,95130,0.132,0.868,"(0.083, 0.139]"
8510,71953,0.032,0.968,"(0.022, 0.036]"
8517,34222,0.144,0.856,"(0.139, 0.278]"
8522,98446,0.142,0.858,"(0.139, 0.278]"
8533,42211,0.025,0.975,"(0.022, 0.036]"
8544,54409,0.031,0.969,"(0.022, 0.036]"
8549,780,0.997,0.003,"(0.278, 1.0]"
8556,23851,0.025,0.975,"(0.022, 0.036]"
8557,56701,0.047,0.953,"(0.036, 0.054]"
8602,37062,0.084,0.916,"(0.083, 0.139]"
8608,46540,0.027,0.973,"(0.022, 0.036]"
8615,28206,0.149,0.851,"(0.139, 0.278]"
8631,31014,0.033,0.967,"(0.022, 0.036]"
8632,98848,0.7140000000000001,0.2859999999999999,"(0.278, 1.0]"
8640,93923,0.071,0.929,"(0.054, 0.083]"
8643,91108,0.069,0.931,"(0.054, 0.083]"
8647,99615,0.09,0.91,"(0.083, 0.139]"
8662,8629,0.356,0.6439999999999999,"(0.278, 1.0]"
8670,85355,0.26,0.74,"(0.139, 0.278]"
8676,33981,0.0409999999999999,0.959,"(0.036, 0.054]"
8692,44054,0.055,0.945,"(0.054, 0.083]"
8695,29669,0.1,0.9,"(0.083, 0.139]"
8722,15238,0.017,0.983,"(0.012, 0.022]"
8725,38866,0.026,0.974,"(0.022, 0.036]"
8731,35954,0.033,0.967,"(0.022, 0.036]"
8741,34236,0.072,0.928,"(0.054, 0.083]"
8757,49333,0.026,0.974,"(0.022, 0.036]"
8760,31820,0.0579999999999999,0.942,"(0.054, 0.083]"
8785,6418,0.176,0.824,"(0.139, 0.278]"
8787,14201,0.376,0.624,"(0.278, 1.0]"
8793,23072,0.045,0.955,"(0.036, 0.054]"
8799,8070,0.057,0.943,"(0.054, 0.083]"
8805,11755,0.133,0.867,"(0.083, 0.139]"
8826,30054,0.053,0.947,"(0.036, 0.054]"
8829,17754,0.031,0.969,"(0.022, 0.036]"
8838,26105,0.004,0.996,"(0.002, 0.012]"
8848,29180,0.024,0.976,"(0.022, 0.036]"
8852,4105,0.0409999999999999,0.959,"(0.036, 0.054]"
8859,57005,0.025,0.975,"(0.022, 0.036]"
8861,6238,0.035,0.965,"(0.022, 0.036]"
8862,31535,0.142,0.858,"(0.139, 0.278]"
8871,35453,0.065,0.935,"(0.054, 0.083]"
8872,52632,0.0409999999999999,0.959,"(0.036, 0.054]"
8907,3878,0.044,0.956,"(0.036, 0.054]"
8912,36544,0.0279999999999999,0.972,"(0.022, 0.036]"
8925,40217,0.03,0.97,"(0.022, 0.036]"
8929,98424,0.162,0.838,"(0.139, 0.278]"
8937,3275,0.02,0.98,"(0.012, 0.022]"
8938,22172,0.261,0.739,"(0.139, 0.278]"
8944,14608,0.135,0.865,"(0.083, 0.139]"
8945,39470,0.0069999999999999,0.993,"(0.002, 0.012]"
