,ZIP,protected,not_protected,bin
1136,55379,0.092,0.908,"(0.083, 0.139]"
1181,29579,0.046,0.954,"(0.036, 0.054]"
1193,33610,0.2019999999999999,0.798,"(0.139, 0.278]"
1236,92069,0.461,0.5389999999999999,"(0.278, 1.0]"
1241,90638,0.4539999999999999,0.546,"(0.278, 1.0]"
1256,736,0.997,0.003,"(0.278, 1.0]"
1257,37918,0.051,0.949,"(0.036, 0.054]"
1281,32304,0.09,0.91,"(0.083, 0.139]"
1288,78201,0.825,0.175,"(0.278, 1.0]"
1301,94566,0.106,0.894,"(0.083, 0.139]"
1302,30097,0.055,0.945,"(0.054, 0.083]"
1322,77080,0.6779999999999999,0.322,"(0.278, 1.0]"
1355,97006,0.156,0.844,"(0.139, 0.278]"
1361,30032,0.033,0.967,"(0.022, 0.036]"
1370,2135,0.129,0.871,"(0.083, 0.139]"
1371,34983,0.218,0.782,"(0.139, 0.278]"
1383,75013,0.086,0.914,"(0.083, 0.139]"
1411,30134,0.091,0.909,"(0.083, 0.139]"
1420,46350,0.092,0.908,"(0.083, 0.139]"
1427,80127,0.098,0.902,"(0.083, 0.139]"
1429,28105,0.1,0.9,"(0.083, 0.139]"
1431,1970,0.177,0.823,"(0.139, 0.278]"
1448,4401,0.027,0.973,"(0.022, 0.036]"
1468,39759,0.019,0.981,"(0.012, 0.022]"
1483,46360,0.059,0.941,"(0.054, 0.083]"
1508,43204,0.121,0.879,"(0.083, 0.139]"
1529,84401,0.26,0.74,"(0.139, 0.278]"
1530,60201,0.093,0.907,"(0.083, 0.139]"
1532,92545,0.456,0.544,"(0.278, 1.0]"
1534,75050,0.557,0.4429999999999999,"(0.278, 1.0]"
1543,23608,0.115,0.885,"(0.083, 0.139]"
1544,94804,0.419,0.581,"(0.278, 1.0]"
1547,15108,0.017,0.983,"(0.012, 0.022]"
1564,92101,0.22,0.78,"(0.139, 0.278]"
1567,54915,0.071,0.929,"(0.054, 0.083]"
1569,85086,0.118,0.882,"(0.083, 0.139]"
1580,95210,0.371,0.629,"(0.278, 1.0]"
1584,91360,0.238,0.762,"(0.139, 0.278]"
1589,27127,0.228,0.772,"(0.139, 0.278]"
1594,78230,0.514,0.486,"(0.278, 1.0]"
1629,50023,0.0289999999999999,0.971,"(0.022, 0.036]"
1647,75703,0.094,0.906,"(0.083, 0.139]"
1668,32092,0.115,0.885,"(0.083, 0.139]"
1673,34952,0.204,0.796,"(0.139, 0.278]"
1686,33914,0.187,0.813,"(0.139, 0.278]"
1687,98503,0.113,0.887,"(0.083, 0.139]"
1688,2909,0.5770000000000001,0.4229999999999999,"(0.278, 1.0]"
