ZIP,protected,not_protected,bin
79912,0.726,0.274,"(0.278, 1.0]"
93274,0.643,0.357,"(0.278, 1.0]"
28269,0.13699999999999998,0.863,"(0.083, 0.139]"
91709,0.273,0.727,"(0.139, 0.278]"
11212,0.17,0.83,"(0.139, 0.278]"
85142,0.212,0.788,"(0.139, 0.278]"
91335,0.532,0.46799999999999997,"(0.278, 1.0]"
92126,0.171,0.829,"(0.139, 0.278]"
27587,0.07,0.9299999999999999,"(0.054, 0.083]"
77459,0.113,0.887,"(0.083, 0.139]"
94544,0.441,0.5589999999999999,"(0.278, 1.0]"
77083,0.38799999999999996,0.6120000000000001,"(0.278, 1.0]"
10029,0.45799999999999996,0.542,"(0.278, 1.0]"
60634,0.409,0.591,"(0.278, 1.0]"
60623,0.667,0.33299999999999996,"(0.278, 1.0]"
23464,0.075,0.925,"(0.054, 0.083]"
76063,0.17300000000000001,0.827,"(0.139, 0.278]"
10002,0.259,0.741,"(0.139, 0.278]"
92563,0.316,0.6839999999999999,"(0.278, 1.0]"
28027,0.127,0.873,"(0.083, 0.139]"
78572,0.858,0.14200000000000002,"(0.278, 1.0]"
79928,0.907,0.09299999999999997,"(0.278, 1.0]"
11218,0.163,0.837,"(0.139, 0.278]"
91910,0.631,0.369,"(0.278, 1.0]"
11375,0.145,0.855,"(0.139, 0.278]"
66062,0.079,0.921,"(0.054, 0.083]"
10466,0.266,0.734,"(0.139, 0.278]"
98052,0.07,0.9299999999999999,"(0.054, 0.083]"
80013,0.239,0.761,"(0.139, 0.278]"
87121,0.8340000000000001,0.16599999999999993,"(0.278, 1.0]"
10469,0.28300000000000003,0.717,"(0.278, 1.0]"
75211,0.795,0.20499999999999996,"(0.278, 1.0]"
90003,0.81,0.18999999999999995,"(0.278, 1.0]"
30040,0.109,0.891,"(0.083, 0.139]"
37211,0.21,0.79,"(0.139, 0.278]"
98012,0.08800000000000001,0.912,"(0.083, 0.139]"
63376,0.023,0.977,"(0.022, 0.036]"
92880,0.406,0.594,"(0.278, 1.0]"
33411,0.213,0.787,"(0.139, 0.278]"
76244,0.161,0.839,"(0.139, 0.278]"
93306,0.6609999999999999,0.3390000000000001,"(0.278, 1.0]"
78254,0.56,0.43999999999999995,"(0.278, 1.0]"
34953,0.26,0.74,"(0.139, 0.278]"
76028,0.174,0.8260000000000001,"(0.139, 0.278]"
84043,0.08,0.92,"(0.054, 0.083]"
33024,0.52,0.48,"(0.278, 1.0]"
19120,0.325,0.675,"(0.278, 1.0]"
95630,0.14400000000000002,0.856,"(0.139, 0.278]"
92805,0.723,0.277,"(0.278, 1.0]"
91706,0.727,0.273,"(0.278, 1.0]"
92553,0.682,0.31799999999999995,"(0.278, 1.0]"
11215,0.163,0.837,"(0.139, 0.278]"
93536,0.35200000000000004,0.6479999999999999,"(0.278, 1.0]"
33311,0.073,0.927,"(0.054, 0.083]"
89108,0.489,0.511,"(0.278, 1.0]"
30127,0.091,0.909,"(0.083, 0.139]"
85225,0.34600000000000003,0.6539999999999999,"(0.278, 1.0]"
30052,0.098,0.902,"(0.083, 0.139]"
10463,0.515,0.485,"(0.278, 1.0]"
80134,0.105,0.895,"(0.083, 0.139]"
92105,0.509,0.491,"(0.278, 1.0]"
77407,0.203,0.7969999999999999,"(0.139, 0.278]"
47906,0.055999999999999994,0.944,"(0.054, 0.083]"
60085,0.602,0.398,"(0.278, 1.0]"
93065,0.258,0.742,"(0.139, 0.278]"
97229,0.061,0.9390000000000001,"(0.054, 0.083]"
45011,0.08800000000000001,0.912,"(0.083, 0.139]"
96797,0.083,0.917,"(0.054, 0.083]"
11209,0.184,0.8160000000000001,"(0.139, 0.278]"
77845,0.133,0.867,"(0.083, 0.139]"
94536,0.165,0.835,"(0.139, 0.278]"
22191,0.316,0.6839999999999999,"(0.278, 1.0]"
30041,0.091,0.909,"(0.083, 0.139]"
90255,0.9740000000000001,0.025999999999999912,"(0.278, 1.0]"
89031,0.36200000000000004,0.6379999999999999,"(0.278, 1.0]"
85364,0.688,0.31200000000000006,"(0.278, 1.0]"
95747,0.126,0.874,"(0.083, 0.139]"
77450,0.23199999999999998,0.768,"(0.139, 0.278]"
60614,0.061,0.9390000000000001,"(0.054, 0.083]"
60657,0.08900000000000001,0.911,"(0.083, 0.139]"
7305,0.256,0.744,"(0.139, 0.278]"
80015,0.146,0.854,"(0.139, 0.278]"
33647,0.196,0.804,"(0.139, 0.278]"
33025,0.348,0.652,"(0.278, 1.0]"
94509,0.402,0.598,"(0.278, 1.0]"
85326,0.514,0.486,"(0.278, 1.0]"
83646,0.087,0.913,"(0.083, 0.139]"
19124,0.475,0.525,"(0.278, 1.0]"
33023,0.34299999999999997,0.657,"(0.278, 1.0]"
75228,0.5660000000000001,0.43399999999999994,"(0.278, 1.0]"
91766,0.731,0.269,"(0.278, 1.0]"
28277,0.071,0.929,"(0.054, 0.083]"
77095,0.273,0.727,"(0.139, 0.278]"
95123,0.292,0.708,"(0.278, 1.0]"
75002,0.126,0.874,"(0.083, 0.139]"
30281,0.095,0.905,"(0.083, 0.139]"
92021,0.266,0.734,"(0.139, 0.278]"
60641,0.5429999999999999,0.4570000000000001,"(0.278, 1.0]"
20906,0.336,0.6639999999999999,"(0.278, 1.0]"
94110,0.332,0.6679999999999999,"(0.278, 1.0]"
94587,0.203,0.7969999999999999,"(0.139, 0.278]"
37075,0.046,0.954,"(0.036, 0.054]"
11691,0.24600000000000002,0.754,"(0.139, 0.278]"
10977,0.20600000000000002,0.794,"(0.139, 0.278]"
7002,0.359,0.641,"(0.278, 1.0]"
33012,0.9640000000000001,0.03599999999999992,"(0.278, 1.0]"
76179,0.31,0.69,"(0.278, 1.0]"
7055,0.7340000000000001,0.2659999999999999,"(0.278, 1.0]"
92882,0.53,0.47,"(0.278, 1.0]"
46307,0.111,0.889,"(0.083, 0.139]"
32828,0.318,0.6819999999999999,"(0.278, 1.0]"
95687,0.247,0.753,"(0.139, 0.278]"
94568,0.096,0.904,"(0.083, 0.139]"
91730,0.42200000000000004,0.578,"(0.278, 1.0]"
949,0.99,0.010000000000000009,"(0.278, 1.0]"
87114,0.517,0.483,"(0.278, 1.0]"
90631,0.5720000000000001,0.42799999999999994,"(0.278, 1.0]"
6902,0.365,0.635,"(0.278, 1.0]"
11213,0.11900000000000001,0.881,"(0.083, 0.139]"
60620,0.027999999999999997,0.972,"(0.022, 0.036]"
85032,0.28800000000000003,0.712,"(0.278, 1.0]"
94541,0.444,0.556,"(0.278, 1.0]"
